name,count
daniel,7480000000
mark,7020000000
john,6530000000
michael,5740000000
james,5390000000
david,5350000000
paul,4740000000
robert,4120000000
thomas,4090000000
william,4010000000
george,3760000000
peter,3750000000
jose,3410000000
jack,3030000000
richard,2750000000
charles,2550000000
juan,2400000000
scott,2050000000
andrew,2010000000
joseph,1980000000
joe,1980000000
frank,1880000000
roger,1660000000
kevin,1650000000
edward,1600000000
henry,1520000000
patrick,1470000000
eric,1450000000
stephen,1430000000
ryan,1410000000
steven,1390000000
jason,1380000000
brian,1330000000
donald,1310000000
anthony,1310000000
albert,1260000000
justin,1140000000
arthur,989000000
jonathan,978000000
walter,968000000
christopher,937000000
carl,937000000
gary,862000000
matthew,859000000
lawrence,846000000
douglas,844000000
samuel,809000000
ralph,743000000
dennis,637000000
jerry,633000000
terry,604000000
raymond,593000000
nicholas,536000000
keith,517000000
jeffrey,496000000
kenneth,493000000
larry,484000000
gregory,458000000
joshua,429000000
ronald,418000000
timothy,367000000
harold,261000000
gerald,192000000
willie,146000000
